site,itame,mepi,cime,anst,cahe,bare,acal,apde,psca,euma
4,0,0,0,1,1,0,0.667,2.5,0,0
5,0,0,0,1,0,0,0,0,1.5,0
6,0,2,0,0,2.5,0,0.667,10,0,0
7,0,0,3,5,0,1.667,0.5,2.333,1.5,0
8,0,0,0,0,4.5,0,0.667,4,3,0.75
9,5,0,0,6.333,1,1.667,16.667,1.333,7,2.75
10,8,0,0,4.333,4,3.5,5.333,4.5,4.5,1
11,1.5,0,0,1.667,0,2,0.667,1,0,1
12,0,0,0,0,1,0,0,1.5,0,1.5
13,0,0,0,0,0,7.5,0,11.5,0,0
14,0,0,0,0,0,0,0.667,1,0,0
15,6,0,0,2,0,0,0,12,0,0.75
16,4,0,3,0,2.5,0,1.25,2.667,0,0
17,6,2,2.5,4.333,0,0,0,0,0,0
18,0,0,0,0,0,0,0,2,2.5,0
19,0,0,3,0,1,0,3,0,0,0
20,0,0,0,0,1.5,0,0,0.667,2,0
23,0,0,0,5.2,0,0,1.429,7.5,0,0
24,0,1.5,0,7.6,2.667,0,0.333,5.333,0,0.833
25,0,0,0,0,0.667,0,1,2.333,0,0
26,15.5,0,0,2,0.667,1.25,7.714,5.75,0,2.167
27,0,0,0,0,0,1.25,0,0.667,0,0
37,0,2.667,0.667,3.375,0,0.286,0.429,5.5,0,0
38,3,0,0,15.444,1,0.5,11.5,7.8,8,0.3
